Date,"Total
vattenföring
[m³/s]","Total
stationskorrigerad
vattenföring
[m³/s]","Total
naturlig
vattenföring
[m³/s]","Lokal
vattenföring
[m³/s]","Vattendragstemperatur
[°C]",7-day Avg Total Vattenföring,30-day Avg Total Vattenföring,7-day Avg Lokal Vattenföring,30-day Avg Lokal Vattenföring,MD-MVM Id
2017-03-12,0.051,0.051,0.051,0.022,0.0,0.05242857142857143,0.05516666666666666,0.023,0.023833333333333335,123
2017-03-13,0.051,0.051,0.051,0.022,0.0,0.052142857142857144,0.05486666666666667,0.022714285714285715,0.023866666666666665,123
2017-03-14,0.051,0.051,0.051,0.022,0.0,0.05185714285714286,0.054599999999999996,0.02257142857142857,0.02393333333333333,123
2017-03-15,0.051,0.051,0.051,0.022,0.0,0.05157142857142857,0.05436666666666667,0.02242857142857143,0.024,123
2017-03-16,0.05,0.05,0.05,0.022,0.0,0.05114285714285714,0.0541,0.022285714285714287,0.0239,123
2017-03-17,0.05,0.05,0.05,0.022,0.0,0.05085714285714286,0.05386666666666667,0.02214285714285714,0.0238,123
2017-03-18,0.05,0.05,0.05,0.021,0.0,0.050571428571428566,0.05363333333333333,0.021857142857142853,0.023666666666666666,123
2017-03-19,0.049,0.049,0.049,0.021,0.0,0.05028571428571428,0.0534,0.021714285714285714,0.023533333333333333,123
2017-03-20,0.049,0.049,0.049,0.021,0.0,0.049999999999999996,0.05316666666666667,0.02157142857142857,0.023399999999999997,123
2017-03-21,0.048,0.048,0.048,0.021,0.0,0.04957142857142858,0.052899999999999996,0.021428571428571432,0.023266666666666665,123
2017-03-22,0.048,0.048,0.048,0.021,0.0,0.04914285714285715,0.05263333333333333,0.021285714285714286,0.023133333333333336,123
2017-03-23,0.048,0.048,0.048,0.021,0.0,0.04885714285714286,0.0524,0.02114285714285714,0.023000000000000003,123
2017-03-24,0.048,0.048,0.048,0.02,0.0,0.048571428571428564,0.052166666666666674,0.02085714285714286,0.022833333333333334,123
2017-03-25,0.047,0.047,0.047,0.02,0.0,0.04814285714285715,0.051866666666666665,0.020714285714285713,0.022666666666666665,123
2017-03-26,0.047,0.047,0.047,0.02,0.0,0.04785714285714286,0.05156666666666666,0.020571428571428574,0.0225,123
2017-03-27,0.047,0.047,0.047,0.02,0.0,0.04757142857142858,0.051300000000000005,0.02042857142857143,0.022333333333333334,123
2017-03-28,0.047,0.047,0.047,0.02,0.0,0.047428571428571424,0.05103333333333333,0.02028571428571429,0.022166666666666668,123
2017-03-29,0.046,0.046,0.046,0.02,0.0,0.047142857142857146,0.05073333333333333,0.020142857142857146,0.022033333333333335,123
2017-03-30,0.046,0.046,0.046,0.02,0.0,0.04685714285714286,0.05043333333333333,0.02,0.0219,123
2017-03-31,0.045,0.045,0.045,0.02,0.0,0.04642857142857143,0.050100000000000006,0.02,0.021766666666666663,123
2017-04-01,0.045,0.045,0.045,0.02,0.0,0.04614285714285714,0.04976666666666666,0.02,0.021633333333333334,123
2017-04-02,0.045,0.045,0.045,0.019,0.0,0.04585714285714286,0.04943333333333333,0.019857142857142858,0.02146666666666667,123
2017-04-03,0.044,0.044,0.044,0.019,0.0,0.04542857142857143,0.0491,0.019714285714285715,0.0213,123
2017-04-04,0.044,0.044,0.044,0.019,0.0,0.045,0.048766666666666666,0.019571428571428573,0.021133333333333334,123
2017-04-05,0.044,0.044,0.044,0.024,0.0,0.044714285714285706,0.048466666666666665,0.020142857142857146,0.021133333333333334,123
